,_CustomerID,OrderDate,Order Quantity,Discount Applied,Unit Price,Unit Cost,Revenue
0,15,2018-05-31,5,0.075,1963.1,1001.181,4073.432499999999
1,20,2018-05-31,3,0.075,3939.6,3348.66,886.4100000000008
2,16,2018-05-31,1,0.05,1775.5,781.22,905.5049999999999
3,48,2018-05-31,8,0.075,2324.9,1464.687,5486.764000000003
4,49,2018-05-31,8,0.1,1822.4,1476.144,1312.1280000000006
5,21,2018-05-31,5,0.05,1038.5,446.555,2700.1
6,14,2018-05-31,4,0.15,1192.6,536.67,1908.1599999999999
7,9,2018-05-31,5,0.05,1815.7,1525.188,998.6349999999993
8,9,2018-06-01,4,0.3,3879.3,2211.201,2017.2360000000008
9,33,2018-06-01,8,0.05,1956.4,1212.968,5164.896000000001
10,21,2018-06-01,6,0.1,201.0,124.62,337.68
11,21,2018-06-01,5,0.15,6277.9,2762.276,12869.695000000002
12,36,2018-06-01,5,0.05,1051.9,641.659,1788.2300000000005
13,17,2018-06-01,6,0.15,254.6,216.41,0.0
14,32,2018-06-01,6,0.15,3932.9,3146.32,1179.87
15,11,2018-06-01,3,0.05,1112.2,700.686,1067.7120000000004
16,10,2018-06-01,3,0.075,1239.5,904.835,725.1074999999996
17,30,2018-06-01,4,0.1,984.9,393.96,1969.8
18,5,2018-06-01,4,0.1,5581.1,4130.014,3571.9040000000023
19,23,2018-06-01,4,0.05,3095.4,1795.332,4581.192
20,46,2018-06-01,4,0.4,2278.0,1754.06,-1549.04
21,14,2018-06-02,7,0.075,991.6,654.456,1839.4180000000001
22,40,2018-06-02,2,0.2,3979.8,3064.446,238.78800000000047
23,19,2018-06-02,3,0.4,1969.8,866.712,945.5039999999997
24,15,2018-06-02,1,0.15,268.0,131.32,96.48000000000002
25,46,2018-06-02,7,0.1,174.2,95.81,426.78999999999996
26,32,2018-06-02,3,0.075,2988.2,2510.088,761.9909999999995
27,32,2018-06-02,4,0.05,3999.9,2679.933,4479.888000000001
28,22,2018-06-02,3,0.05,5976.4,2450.324,9681.768
29,5,2018-06-02,5,0.1,2901.1,2378.902,1160.4399999999987
30,29,2018-06-03,7,0.075,6076.9,2734.605,20205.692499999997
31,35,2018-06-03,7,0.2,5735.2,4186.696,2810.2479999999996
32,46,2018-06-03,3,0.1,3919.5,2077.335,4350.645
33,42,2018-06-03,1,0.05,6083.6,3832.668,1946.752
34,2,2018-06-03,5,0.075,2566.1,1642.304,3656.692499999999
35,28,2018-06-03,2,0.075,2278.0,1093.44,2027.42
36,46,2018-06-03,1,0.075,261.3,120.198,121.50450000000002
37,22,2018-06-03,8,0.05,998.3,698.81,1996.6000000000004
38,34,2018-06-03,6,0.2,3497.4,1958.544,5036.255999999999
39,26,2018-06-03,4,0.05,1132.3,486.889,2355.1839999999997
40,26,2018-06-03,7,0.05,2405.3,1587.498,4882.759000000002
41,24,2018-06-03,8,0.05,5701.7,3249.969,17333.167999999998
42,18,2018-06-04,1,0.2,2452.2,1446.798,514.9619999999998
43,21,2018-06-04,3,0.05,3095.4,2012.01,2785.8600000000006
44,14,2018-06-04,4,0.4,3865.9,2164.904,618.5439999999999
45,3,2018-06-04,8,0.1,2304.8,1382.88,5531.52
46,13,2018-06-04,3,0.05,3195.9,1470.114,4697.973
47,49,2018-06-04,7,0.05,6452.1,5161.68,6774.705000000004
48,4,2018-06-05,3,0.3,2003.3,921.518,1442.3759999999997
49,20,2018-06-05,8,0.05,3638.1,1455.24,16007.639999999998
50,19,2018-06-05,3,0.075,2278.0,1822.4,854.25
51,25,2018-06-05,6,0.3,924.6,582.498,388.3319999999999
52,8,2018-06-05,5,0.05,3926.2,3062.436,3337.2699999999986
53,24,2018-06-05,4,0.075,3825.7,2257.163,5126.438
54,13,2018-06-05,3,0.05,2257.9,1377.319,2303.0580000000004
55,32,2018-06-06,8,0.075,1112.2,756.296,2179.9120000000003
56,28,2018-06-06,8,0.05,3557.7,1814.427,12523.103999999998
57,8,2018-06-06,3,0.4,2371.8,1233.336,569.2319999999997
58,47,2018-06-06,1,0.4,857.6,686.08,-171.5200000000001
59,33,2018-06-07,5,0.3,3892.7,2880.598,-778.5400000000004
60,26,2018-06-07,6,0.075,3477.3,1390.92,10953.494999999999
61,20,2018-06-07,5,0.1,3738.6,2803.95,2803.95
62,6,2018-06-07,5,0.3,1072.0,589.6,804.0000000000003
63,40,2018-06-07,7,0.05,2257.9,1761.162,2686.9010000000007
64,23,2018-06-07,3,0.1,1058.6,751.606,603.4019999999997
65,38,2018-06-07,4,0.1,2492.4,1296.048,3788.4479999999994
66,30,2018-06-07,5,0.05,3852.5,2465.6,5971.375
67,42,2018-06-08,8,0.05,241.2,132.66,771.8399999999999
68,1,2018-06-08,2,0.15,1051.9,494.393,799.4440000000003
69,11,2018-06-08,5,0.3,227.8,107.066,261.97
70,4,2018-06-08,5,0.05,1078.7,506.989,2588.88
71,6,2018-06-08,8,0.15,1005.0,743.7,884.3999999999996
72,17,2018-06-08,5,0.05,2485.7,1317.421,5219.969999999999
73,7,2018-06-08,3,0.05,2659.9,2154.519,1117.1580000000013
74,1,2018-06-09,1,0.075,2224.4,1579.324,478.2460000000001
75,27,2018-06-09,7,0.2,2472.3,1260.873,5018.769
76,33,2018-06-09,5,0.05,1011.7,799.243,809.3599999999998
77,28,2018-06-09,6,0.2,234.5,128.975,351.75
78,42,2018-06-09,4,0.075,261.3,143.715,391.95000000000005
79,5,2018-06-09,7,0.1,4006.6,2844.686,5328.777999999999
80,10,2018-06-09,7,0.05,1333.3,866.645,2799.9300000000003
81,34,2018-06-10,5,0.05,167.5,90.45,343.375
82,23,2018-06-10,7,0.075,3195.9,1821.663,7941.8115
83,18,2018-06-10,1,0.05,1051.9,809.963,189.3420000000001
84,8,2018-06-10,4,0.1,5447.1,3540.615,5447.100000000002
85,36,2018-06-10,2,0.075,3182.5,1973.15,1941.3249999999998
86,47,2018-06-11,3,0.1,891.1,632.681,507.9269999999999
